word,used_in_graph,rank,rank_quartile,rank_in_top20%,sim_whisky,valence,sum_sim_valence
creamy,1,5486,0,1,0.16833518054187926,0.2501102089881897,0.41844538953006893
smoothness,1,68480,2,0,0.15688580204575242,0.33944448828697205,0.49633029033272447
astute,1,48530,2,0,0.15680882677021094,0.2780010998249054,0.4348099265951163
wit,1,7672,1,1,0.15398680332951006,0.26150578260421753,0.4154925859337276
witty,1,26657,2,1,0.1528621486144444,0.7300894856452942,0.8829516342597385
subtlety,1,52172,2,0,0.14778935606045457,0.2364416867494583,0.3842310428099129
refine,1,5679,0,1,0.1447255516116575,0.34498539566993713,0.48971094728159464
combination,1,3294,0,1,0.1433311259662858,0.6443979144096375,0.7877290403759233
silky,1,31486,2,1,0.13656818495898912,0.4531232714653015,0.5896914564242907
velvety,1,54928,2,0,0.13504072010201268,0.29809972643852234,0.433140446540535
elegant,1,5718,0,1,0.12975925515167946,0.8045507669448853,0.9343100220965648
glossy,0,18998,1,1,0.12265837325359263,0.14596103131771088,0.2686194045713035
pure,1,4384,0,1,0.12126400274911917,0.6347605586051941,0.7560245613543133
seamlessly,1,29778,2,1,0.11913057957924905,0.36439815163612366,0.4835287312153727
shrewd,0,45163,2,0,0.11900738357912703,0.1652211844921112,0.28422856807123825
viscous,0,56748,2,0,0.11774311141672288,0.23817767202854156,0.35592078344526445
sophisticate,1,10295,1,1,0.11216884139889122,0.5524333119392395,0.6646021533381308
subtle,1,12214,1,1,0.10918332870686308,0.3944975733757019,0.503680902082565
crisp,1,8569,1,1,0.10691929184837098,0.6979233026504517,0.8048425944988227
smooth,1,4559,0,1,0.09944807653776773,0.6393346786499023,0.7387827551876701
perfect,1,933,0,1,0.09843839025577092,0.8989449739456177,0.9973833642013886
straightforward,1,18937,1,1,0.09481974547521167,0.39114153385162354,0.4859612793268352
incisive,0,71717,2,0,0.09290114676680365,0.23481141030788422,0.3277125570746879
punchy,1,89618,2,0,0.0910506779882006,0.16256871819496155,0.25361939618316215
clever,1,12011,1,1,0.08745913932999061,0.33752232789993286,0.42498146722992347
flawless,1,22573,1,1,0.08678630384388301,0.30856853723526,0.39535484107914304
transparent,1,7728,1,1,0.08649915472673621,0.5759269595146179,0.6624261142413541
texture,1,7362,0,1,0.0853357154127438,0.46555110812187195,0.5508868235346157
attractive,1,5553,0,1,0.08471868347018563,0.8474276661872864,0.932146349657472
effortlessly,1,30339,2,1,0.0829160333702341,0.4475010335445404,0.5304170669147745
traditional,1,2053,0,1,0.07927119454912653,0.49018436670303345,0.56945556125216
gentle,1,10525,1,1,0.07869855827526998,0.7940182089805603,0.8727167672558303
sharpness,1,66269,2,0,0.07737303481377342,0.05466616526246071,0.13203920007623413
neat,1,10380,1,1,0.0769657212327736,0.28817126154899597,0.3651369827817696
effortless,1,32597,2,1,0.07618530519040786,0.7244821190834045,0.8006674242738124
skillful,1,41548,2,0,0.07542642675639429,0.3403300642967224,0.4157564910531167
thick,1,5358,0,1,0.0750378402099797,-0.1513139307498932,-0.0762760905399135
bite,1,1195,0,1,0.07370481847268175,-0.07603554427623749,-0.0023307258035557415
simplicity,1,17879,1,1,0.07345724255623198,0.5921612977981567,0.6656185403543887
perfectly,1,5653,0,1,0.06908176670386264,0.45518386363983154,0.5242656303436942
rough,0,5790,0,1,0.06895211557988817,-0.32204777002334595,-0.2530956544434578
surprisingly,1,11582,1,1,0.06874349471041719,0.2325727492570877,0.3013162439675049
cleverly,1,33813,2,1,0.06872965793544689,-0.05989391729235649,0.008835740643090395
extra,1,1045,0,1,0.06838384679081655,0.33099111914634705,0.3993749659371636
supple,1,54474,2,0,0.0664496810919105,0.2819117307662964,0.3483614118582069
slick,1,22761,1,1,0.06386650663042986,0.05672379210591316,0.12059029873634303
subtly,1,48270,2,0,0.06177090955577691,0.11690312623977661,0.17867403579555352
matte,1,12412,1,1,0.060316551198095716,-0.09325020015239716,-0.03293364895430144
predictable,0,24717,1,1,0.05798876362739081,0.06928819417953491,0.12727695780692572
slightly,1,4805,0,1,0.056058862624467985,-0.21906282007694244,-0.16300395745247445
handy,1,9651,1,1,0.05348860444787347,0.25179407000541687,0.3052826744532903
simple,1,1497,0,1,0.052378056300018294,0.5425854921340942,0.5949635484341125
deft,1,58477,2,0,0.05088362678584077,0.09381580352783203,0.1446994303136728
soft,1,2559,0,1,0.04764253003871903,0.4204894006252289,0.4681319306639479
nimble,1,38974,2,0,0.045564096823335676,0.20773956179618835,0.25330365861952403
deftly,1,73109,2,0,0.044978871449201374,0.17586678266525269,0.22084565411445406
ensure,1,1067,0,1,0.04223357356890002,0.966152548789978,1.0083861223588781
sharp,1,4636,0,1,0.04140592470826374,-0.06764785945415497,-0.026241934745891225
comfortable,1,1694,0,1,0.041233361893855,0.7797658443450928,0.8209992062389477
albeit,1,18397,1,1,0.035202059079057525,-0.11609026789665222,-0.0808882088175947
easy,1,520,0,1,0.0350854241107608,0.7083197832107544,0.7434052073215152
softness,1,53864,2,0,0.0336701489770057,0.3234238624572754,0.3570940114342811
easily,1,2701,0,1,0.031769411353190447,0.04676264896988869,0.07853206032307913
sleek,1,15017,1,1,0.03160458892584185,0.38989126682281494,0.4214958557486568
delicate,1,11609,1,1,0.02984708717296101,0.46275654435157776,0.4926036315245388
gently,1,11399,1,1,0.02868611307770862,0.32887694239616394,0.35756305547387257
orderly,1,26123,2,1,0.02628972602269735,0.5248702764511108,0.5511600024738081
edge,1,1725,0,1,0.021670735934671226,-0.14682473242282867,-0.12515399648815745
simplistic,0,49696,2,0,0.01847001161502046,-0.0879950076341629,-0.06952499601914244
curve,1,5489,0,1,0.016650123347784748,0.1984327882528305,0.21508291160061527
frictionless,1,167430,2,0,0.014247561527047283,0.2088974565267563,0.22314501805380357
blunt,1,14326,1,1,0.013456180280831512,-0.005656495690345764,0.007799684590485748
robust,1,9033,1,1,0.012822371688725798,0.5428738594055176,0.5556962310942434
continuous,1,5816,0,1,0.011586271193480055,0.414837509393692,0.42642378058717206
springy,0,115899,2,0,0.009312740598118036,0.19044269621372223,0.19975543681184027
transition,1,5036,0,1,0.00802432427794221,0.6135584115982056,0.6215827358761478
taper,0,13954,1,1,0.007222790106044468,-0.2488129585981369,-0.24159016849209244
efficient,1,4761,0,1,0.006740193087945805,0.6540716886520386,0.6608118817399844
quickly,1,2704,0,1,-0.000240518218536417,0.023195121437311172,0.022954603218774756
smoothly,1,18188,1,1,-0.0007743666790720309,0.3065802752971649,0.30580590861809287
ease,1,3142,0,1,-0.009967946744423226,0.2104511857032776,0.20048323895885437
glide,1,19171,1,1,-0.01114730302721698,0.5470193028450012,0.5358719998177842
painless,1,61364,2,0,-0.012118360777371114,0.16473042964935303,0.15261206887198192
indian,1,105,0,1,-0.013220216528244953,-0.11330489814281464,-0.1265251146710596
select,1,249,0,1,-0.01427321215351544,-0.05896575376391411,-0.07323896591742955
clumsy,0,45139,2,0,-0.016690766329730048,-0.2762587070465088,-0.29294947337623883
lightly,1,10338,1,1,-0.021638721069671688,0.2145967036485672,0.19295798257889551
slight,1,8873,1,1,-0.02593599584190573,-0.24675293266773224,-0.272688928509638
surface,0,1850,0,1,-0.02787313755940172,0.2715677320957184,0.24369459453631667
quickness,1,87638,2,0,-0.028707733374025903,0.23736099898815155,0.20865326561412564
subdue,1,17568,1,1,-0.03742314577101566,-0.0895729660987854,-0.12699611186980106
slow,0,1779,0,1,-0.03874743620558054,-0.6515982151031494,-0.6903456513087299
squeeze,1,11041,1,1,-0.03998362153050264,-0.07402544468641281,-0.11400906621691545
accentuate,1,34854,2,1,-0.04178228411192636,0.19287420809268951,0.15109192398076315
scrape,0,17422,1,1,-0.04892026250873495,-0.4203285276889801,-0.46924879019771504
thin,1,3567,0,1,-0.05038668513381902,0.08219337463378906,0.031806689499970044
soften,1,12074,1,1,-0.05262019720549452,-0.2198476344347,-0.2724678316401945
smoothen,1,123015,2,0,-0.06126578937698513,0.07950428128242493,0.018238491905439795
lightweight,1,13492,1,1,-0.07606312652800813,0.3582080006599426,0.2821448741319345
bumpy,0,36512,2,1,-0.0761636288908908,0.029305316507816315,-0.04685831238307449
unnerve,0,51542,2,0,-0.07627452887839481,-0.15936659276485443,-0.23564112164324924
contour,1,17344,1,1,-0.07850425931047196,0.33001381158828735,0.2515095522778154
ratchet,0,38771,2,0,-0.13145861373574427,-0.037075791507959366,-0.16853440524370364
