word,used_in_graph,rank,rank_quartile,rank_in_top20%,sim_whisky,valence,sum_sim_valence
whisky,1,2003,0,1,1.0,0.7703759074211121,1.770375907421112
whiskey,1,13962,0,1,0.6412416343958679,0.46005967259407043,1.1013013069899382
chivas_regal,0,104745,2,0,0.5996435563595388,0.15779045224189758,0.7574340086014364
scotch,1,4758,0,1,0.5966601860445789,0.3258642852306366,0.9225244712752155
malt,1,5980,0,1,0.5449377770193176,0.6973042488098145,1.242242025829132
dalwhinnie,0,172253,2,0,0.5412356239194989,-0.0029924921691417694,0.5382431317503571
distillery,1,9248,0,1,0.5328018577881961,-0.03300764784216881,0.4997942099460273
balvenie,0,116571,2,0,0.5282445139015969,0.0019231848418712616,0.5301676987434681
bourbon,1,11827,0,1,0.5151403354199362,0.3180105686187744,0.8331509040387106
distiller,0,40327,1,0,0.5001851501251537,0.07442261278629303,0.5746077629114468
glenfiddich,0,57389,1,0,0.48996388367349036,0.1332249790430069,0.6231888627164972
liqueur,1,25174,1,1,0.48265786310474396,0.26255732774734497,0.745215190852089
vodka,0,9396,0,1,0.4824008610785336,0.4770048260688782,0.9594056871474117
schnapps,1,94307,2,0,0.4794546192442787,0.28822094202041626,0.7676755612646949
tipple,0,96132,2,0,0.4746527785629824,0.19195815920829773,0.6666109377712801
lagavulin,0,116298,2,0,0.4681907649481394,0.022391095757484436,0.4905818607056238
glenmorangie,0,76795,1,0,0.4632626775026338,0.0853305459022522,0.548593223404886
distill,1,18003,1,1,0.45984594144996754,0.18954943120479584,0.6493953726547634
macallan,1,49049,1,0,0.4516113023601384,0.07807281613349915,0.5296841184936376
laphroaig,1,67081,1,0,0.44728240209273523,-0.044582560658454895,0.40269984143428034
auchentoshan,0,87717,2,0,0.4382043886761547,0.06523965299129486,0.5034440416674495
cointreau,0,81924,2,0,0.4374550769033763,0.24578545987606049,0.6832405367794367
vermouth,1,66798,1,0,0.4358292628461656,0.2008773386478424,0.6367066014940079
rum,1,7054,0,1,0.4330880748978409,0.1311800479888916,0.5642681228867326
dalmore,0,103147,2,0,0.43019868788390003,0.03096555545926094,0.461164243343161
wine,1,1464,0,1,0.42476573486720404,0.3473864793777466,0.7721522142449506
talisker,1,79937,1,0,0.42313497465366623,0.08648993074893951,0.5096249054026057
beer,1,2705,0,1,0.42056282744780016,0.15956898033618927,0.5801318077839894
islay,1,45205,1,0,0.41947383630200075,-0.05885758250951767,0.3606162537924831
malty,1,144941,2,0,0.41314982026458813,0.24906767904758453,0.6622174993121727
glenlivet,1,42903,1,0,0.400857725959498,0.17427422106266022,0.5751319470221582
brandy,1,14627,0,1,0.39102942105824046,0.2572473883628845,0.648276809421125
speyside,1,40108,1,0,0.3841565866556861,-0.1546943634748459,0.2294622231808402
bunnahabhain,1,74194,1,0,0.38229436395099015,0.0005474798381328583,0.382841843789123
decanter,1,52588,1,0,0.3808434429401889,0.42409318685531616,0.8049366297955051
mlx,0,72141,1,0,0.38053090664791783,0.04488490894436836,0.4254158155922862
bruichladdich,1,67842,1,0,0.3656820796630066,0.10983309149742126,0.47551517116042785
gin,1,9159,0,1,0.3644209452805587,-0.06102899834513664,0.30339194693542204
ballantine,0,104689,2,0,0.36357390014319785,0.049921516329050064,0.4134954164722479
fruity,1,29970,1,1,0.35774495084922125,0.4727034568786621,0.8304484077278833
