word,sum_over_NF_dims,rank
truly,5.599674281542233,3820
charm,5.391905905878432,2753
wonderfully,5.264796891990503,21224
subtle,5.2342771611720105,12214
vibrant,5.2048019330524165,7417
comfortable,5.190671268653314,1694
unique,5.1281545934227,1403
delicate,4.999128859147429,11609
earthy,4.872749479881841,34352
exquisite,4.834723570178579,11561
sophistication,4.791358777726152,30672
perfectly,4.754437668650003,5653
richness,4.682831820050831,30390
elegance,4.664429400530671,9876
luxurious,4.6054151559174565,5020
decadent,4.589819320335806,26977
effortless,4.583853902171459,32597
gentle,4.551088526201184,10525
delicious,4.507096702498258,2307
abundance,4.3700260491234255,16187
sublime,4.3405398485516855,17303
incredible,4.2867373694237205,4454
sweetness,4.278958856932838,27581
extraordinary,4.277321749463692,7660
fascinate,4.267873890529821,7629
taste,4.224796187102147,2106
texture,4.217355797926931,7362
flavorful,4.141721221624543,23063
effortlessly,4.139211061886427,30339
uniqueness,4.112731230283316,35624
enrich,4.034420598098668,12108
blend,4.026791966469759,3017
goodness,4.005271196488239,17023
sleek,3.98388950058166,15017
flavour,3.9798975315066136,5850
palate,3.929943278543543,20514
rich,3.9053604493913774,1437
diverse,3.8988386567900415,4910
abundant,3.875690153230301,13611
glorious,3.873106096547041,11783
aroma,3.802314414936845,10983
tradition,3.798789649435982,3757
fruity,3.792744941373722,29970
rustic,3.792110527148276,10234
remarkable,3.7878497995863913,7521
grandeur,3.7360009749208047,21144
splendor,3.719459066036332,24286
sweet,3.676797577319785,1316
soft,3.6356698439533486,2559
opulent,3.5999707965341403,34761
silky,3.596671346055971,31486
fragrant,3.5958968504910684,26958
scent,3.590298239324073,13571
flawless,3.5101300860429685,22573
magnificent,3.5085930799676546,6438
generous,3.502779905585923,8866
splendour,3.4619557202544757,29529
easy,3.4065542692877377,520
mellow,3.388024343535521,29879
flavor,3.3626866606869625,2243
craftsmanship,3.2914282082764865,25638
neat,3.2222835821665585,10380
robust,3.1801681720920287,9033
boast,3.118975234628154,5754
crisp,3.117942373694328,8569
glossy,3.0816353530196943,18998
efficient,3.0519671613098835,4761
succulent,2.9911291422495663,28718
buttery,2.9812786011887344,31338
creamy,2.9785467515582162,5486
juicy,2.972980119205805,17148
smooth,2.8981903158002598,4559
vast,2.8965632278394686,5745
salty,2.7891897877109404,19960
lightweight,2.653444237004454,13492
crunchy,2.6233480894164782,20554
slick,2.6043620609279,22761
nutty,2.545487557444231,33989
spice,2.53431159500624,3788
tangy,2.5005398469101983,21177
smoky,2.500328073689705,17561
smell,2.481352085382293,5954
seamlessly,2.4770678919772404,29778
spicy,2.434384646606416,6805
wealth,2.311154303508424,2902
slightly,2.2863313105447487,4805
thin,2.228500570668204,3567
ensure,2.2091509058042424,1067
herb,2.191544134677905,4421
wealthy,2.1719234300545263,9454
citrus,2.1326656156524058,11563
thick,2.0843312635522797,5358
chocolate,2.045612892723545,1812
transition,2.0335503742907566,5036
gently,2.0162392783883902,11399
honey,2.0119256053242704,5584
wood,1.9505905958303105,1660
contour,1.9424409601615584,17344
sweeten,1.9408532486718741,25006
veneer,1.910553160776865,29984
matte,1.8837648000150449,12412
continuous,1.8579583308071443,5816
sorbet,1.8494670248068008,31744
curve,1.8451930934965084,5489
transparent,1.8301488705623328,7728
tree,1.8296958692327243,1453
lightly,1.8185077457837115,10338
rough,1.770450929405299,5790
bumpy,1.6597330242391382,36512
glide,1.6459903740367443,19171
grapefruit,1.5869686672620242,28868
peach,1.5125799736145686,6923
cherry,1.4754507208533925,6164
woody,1.3683084478515026,17236
bamboo,1.3588601013918695,8965
orderly,1.33841753044362,26123
raspberry,1.33256001624597,12444
vine,1.3124035365523643,11420
brown,1.1685624227262212,1538
liqueur,1.1495142525463935,25174
apricot,1.12225122392013,23581
surface,1.0674374502575597,1850
twig,1.0630809550824325,35917
oak,0.9685639905491856,4007
willow,0.9489109453307604,14532
walnut,0.8676231016037891,9135
bark,0.8040802237503046,12963
maple,0.7734393966783599,8309
smoothly,0.6920910106951634,18188
pine,0.5806997396087425,4894
birch,0.38080815182937605,21576
scrape,0.3284208050713876,17422
hickory,0.30941335096164785,23563
allen,0.21564619169445354,4271
