word,sum_over_NF_dims,rank
fruity,3.792744941373722,29970
vegetable,2.004845045159436,2604
coarse,1.6304949136780882,16979
grain,1.601987275813033,4681
beer,1.4755396771803366,2705
whisky,1.4301645399099752,2003
milk,1.4182635913461894,2675
distill,1.3950858413131575,18003
vodka,1.3446865777603263,9396
malt,1.321468163320876,5980
scotch,1.2183550516971464,4758
harvest,1.2120516034660946,4865
crop,1.2110053123727864,3117
whiskey,1.2085666212212112,13962
oat,1.1992813953300738,15118
liqueur,1.1495142525463935,25174
rice,1.0421439688427436,2663
cereal,1.0297439202450134,11099
corn,0.939915385792798,3817
sugar,0.9269580776412945,2192
barley,0.9064821514585084,19067
bourbon,0.836872705608287,11827
gin,0.7824891823545187,9159
brandy,0.7653187363477278,14627
abv,0.7185385909461544,6550
wheat,0.6794197864453999,6710
buckwheat,0.6210595889518546,35725
ale,0.6086690571457183,4310
lager,0.5741059383107621,20726
millet,0.5203334427075821,17829
rye,0.5180292414140065,15347
starch,0.5111884048290892,17735
distillery,0.4799056074915434,9248
rum,0.3808451474235255,7054
sugarcane,0.36986573641786136,28592
soya,0.3593622962531305,27364
cask,0.17800606412352366,8354
flour,0.1568922159323234,5971
groundnut,-0.01553969469726224,36402
maize,-0.02828505524263575,26345
sorghum,-0.13296362739451215,26279
soybean,-0.17802703246327967,16017
tonne,-0.40539452366357376,5825
