word,sum_over_NF_dims
attractive,5.384534835645306
subtle,5.2342771611720105
comfortable,5.190671268653314
simplicity,5.0794981908403365
sophisticate,5.023508451898024
delicate,4.99912885914743
perfectly,4.754437668650003
effortless,4.583853902171459
simple,4.5636196382492145
gentle,4.551088526201184
accentuate,4.381770234742632
surprisingly,4.348716422883005
texture,4.217355797926931
effortlessly,4.139211061886427
punchy,3.9874538819027645
sleek,3.9838895005816597
simplistic,3.9104158389439387
predictable,3.8252986029609044
smoothness,3.7208805300497776
velvety,3.68601929146452
soft,3.635669843953348
silky,3.596671346055971
witty,3.586664566115478
flawless,3.510130086042969
easy,3.4065542692877377
easily,3.364802898420889
supple,3.3368474349653723
neat,3.2222835821665585
robust,3.180168172092029
incisive,3.1296397498759547
crisp,3.117942373694328
albeit,3.0873602095997805
glossy,3.0816353530196943
efficient,3.051967161309883
bite,3.022873469304207
creamy,2.978546751558216
springy,2.9691277616467104
clever,2.9127835684113617
smooth,2.8981903158002593
subdue,2.8541914602925527
astute,2.781934965986275
viscous,2.7303667117625894
sharp,2.6945144697105885
lightweight,2.653444237004454
straightforward,2.651449669991026
shrewd,2.6469576199432447
slick,2.6043620609278997
wit,2.5864158841791762
sharpness,2.571112856912935
quickly,2.5459525103884078
deftly,2.4948165188438876
unnerve,2.492678193176016
seamlessly,2.4770678919772404
deft,2.419322313281892
soften,2.300641759514078
slightly,2.2863313105447487
frictionless,2.2690189314731475
thin,2.2285005706682037
ensure,2.2091509058042424
nimble,2.1952625059108306
ease,2.159792764798319
slight,2.152245787065989
thick,2.0843312635522793
quickness,2.041534009187236
transition,2.0335503742907566
gently,2.0162392783883902
skillful,1.9683194771558368
contour,1.9424409601615586
matte,1.883764800015045
continuous,1.8579583308071443
curve,1.8451930934965084
transparent,1.8301488705623332
lightly,1.8185077457837113
blunt,1.8138422056665604
rough,1.770450929405299
bumpy,1.659733024239138
glide,1.6459903740367445
cleverly,1.6339897798226808
handy,1.5520830326137873
clumsy,1.5513242820605513
slow,1.4774834619767279
squeeze,1.3993281828843223
orderly,1.33841753044362
painless,1.336402383253641
edge,1.3363780698170515
surface,1.0674374502575597
taper,0.9955971402077597
smoothen,0.7788495011762604
smoothly,0.6920910106951634
ratchet,0.6689792896769658
scrape,0.3284208050713876
